first_purchase_date,first_purchase_user_id,purchase_user_id,purchase_date,purchase_id,product_line
12/06/2020,5179432,5179432,15/08/2020,47413j5902v1921,Restaurant
19/03/2020,6767946,6767946,01/05/2020,10738f1311h1648,Restaurant
19/03/2020,6767946,6767946,05/05/2020,78811a3393n1963,Restaurant
19/03/2020,6767946,6767946,24/06/2020,64996h1679w7459,Restaurant
14/05/2020,2621179,2621179,02/07/2020,12002i3671v6526,Restaurant
01/06/2020,5457179,5457179,19/08/2020,17546s5325p4818,Restaurant
01/06/2020,5457179,5457179,02/08/2020,88247k7287u5516,Restaurant
01/06/2020,5457179,5457179,23/07/2020,34334g1002t3321,Restaurant
01/06/2020,5457179,5457179,12/08/2020,80568x4679w4682,Restaurant
01/06/2020,5457179,5457179,03/08/2020,66745c2116d2425,Restaurant
01/06/2020,5457179,5457179,22/08/2020,47986z4150b1849,Restaurant
01/06/2020,5457179,5457179,29/07/2020,10585k2810e8376,Restaurant
01/06/2020,5457179,5457179,12/08/2020,66703a7206x5608,Restaurant
01/06/2020,5457179,5457179,02/09/2020,36450l4792v1610,Restaurant
01/06/2020,5457179,5457179,24/08/2020,53257q2286n6337,Restaurant
01/06/2020,5457179,5457179,30/08/2020,65626f3430l7817,Restaurant
01/06/2020,5457179,5457179,06/09/2020,74054g4739y7921,Restaurant
01/06/2020,5457179,5457179,19/09/2020,20099a3851m4417,Restaurant
01/06/2020,5457179,5457179,23/08/2020,85554p5957a3308,Restaurant
01/06/2020,5457179,5457179,18/09/2020,53890l1459j9631,Restaurant
01/06/2020,5457179,5457179,17/09/2020,72507u2262l1800,Restaurant
01/06/2020,5457179,5457179,01/09/2020,77885i5223y5022,Restaurant
01/06/2020,5457179,5457179,08/09/2020,47987n4664y7930,Restaurant
01/06/2020,5457179,5457179,08/09/2020,11234p6501d9652,Restaurant
01/06/2020,5457179,5457179,02/09/2020,68821i1248t4510,Restaurant
01/06/2020,5457179,5457179,23/08/2020,45796g3750b6201,Restaurant
01/06/2020,5457179,5457179,25/09/2020,94907w6927e5979,Restaurant
11/04/2020,2059607,2059607,12/06/2020,70122t2132q8975,Restaurant
11/04/2020,2059607,2059607,30/10/2020,14996v4905i6173,Restaurant
21/06/2020,4752287,4752287,01/10/2020,21923m4920d2768,Restaurant
21/06/2020,4752287,4752287,22/08/2020,16014g4300k5479,Restaurant
21/06/2020,4752287,4752287,14/10/2020,45971d7811i5408,Restaurant
21/06/2020,4752287,4752287,10/10/2020,75419s2222g3769,Restaurant
08/04/2020,3959440,3959440,23/06/2020,62048b2759w9666,Restaurant
19/04/2020,1879402,1879402,29/05/2020,60081i7961f2142,Restaurant
19/04/2020,1879402,1879402,28/06/2020,70767o7757x8370,Restaurant
12/04/2020,2282148,2282148,26/06/2020,23803s1302j3740,Restaurant
15/03/2020,7781609,7781609,09/06/2020,25227e5286w5581,Restaurant
15/03/2020,7781609,7781609,29/07/2020,36102q4798n5815,Restaurant
01/08/2020,3750976,3750976,09/09/2020,75054e3022k7659,Restaurant
01/08/2020,3750976,3750976,16/10/2020,93662r3105p2523,Restaurant
01/08/2020,3750976,3750976,10/10/2020,98543r6133h2377,Restaurant
17/06/2020,9032113,9032113,24/08/2020,17288m7171y8804,Restaurant
12/05/2020,8777133,8777133,15/10/2020,15117i6648n3654,Restaurant
02/05/2020,2271636,2271636,11/06/2020,83933x8591g8470,Restaurant
02/05/2020,2271636,2271636,26/05/2020,17838p5351l1827,Restaurant
02/05/2020,2271636,2271636,16/06/2020,75252y2247o7949,Restaurant
02/05/2020,2271636,2271636,26/08/2020,28699v3945e8046,Restaurant
02/05/2020,2271636,2271636,29/08/2020,98806r3310t5950,Restaurant
02/05/2020,2271636,2271636,27/08/2020,64531i5166q7117,Restaurant
02/05/2020,2271636,2271636,26/10/2020,30117s8893o8190,Restaurant
21/09/2020,5009019,5009019,02/10/2020,81635n4887w1667,Restaurant
24/07/2020,7869771,7869771,25/08/2020,49560u9518u4128,Restaurant
01/04/2020,7890391,7890391,30/05/2020,51566r9580u6932,Restaurant
01/04/2020,7890391,7890391,24/07/2020,25533p2842m9781,Restaurant
01/04/2020,7890391,7890391,17/09/2020,14405i7514e5781,Restaurant
01/04/2020,7890391,7890391,26/08/2020,68846m7300g6273,Restaurant
23/03/2020,1944542,1944542,31/08/2020,20839c7495f2170,Restaurant
02/04/2020,7286199,7286199,27/05/2020,76554k7960f6939,Restaurant
02/04/2020,7286199,7286199,28/06/2020,24311b7609i3845,Restaurant
02/04/2020,7286199,7286199,14/08/2020,68619m6409k4693,Restaurant
02/04/2020,7286199,7286199,25/09/2020,79674s9669u5180,Restaurant
02/04/2020,7286199,7286199,11/09/2020,32299z2535r6509,Restaurant
02/04/2020,7286199,7286199,28/08/2020,88166e5290w3252,Restaurant
02/04/2020,7286199,7286199,11/09/2020,50893e8723f5452,Restaurant
02/04/2020,7286199,7286199,06/09/2020,66848s7232a5375,Restaurant
02/04/2020,7286199,7286199,01/10/2020,98007i3608a6502,Restaurant
02/04/2020,7286199,7286199,20/10/2020,49471i5798h2230,Restaurant
02/04/2020,7286199,7286199,15/10/2020,77419r3706u3763,Restaurant
24/05/2020,3600831,3600831,01/08/2020,30690f5873u1876,Restaurant
16/06/2020,5425246,5425246,29/07/2020,57976f2213z2658,Restaurant
16/06/2020,5425246,5425246,28/08/2020,70755k1194r3908,Restaurant
16/06/2020,5425246,5425246,30/08/2020,54104n1172a8125,Restaurant
16/06/2020,5425246,5425246,28/07/2020,43518n2426r8112,Restaurant
16/06/2020,5425246,5425246,19/09/2020,32715t8734j2246,Restaurant
16/06/2020,5425246,5425246,26/08/2020,15535b8318r2569,Restaurant
16/06/2020,5425246,5425246,27/09/2020,47339c4161b7462,Restaurant
16/06/2020,5425246,5425246,18/09/2020,41944f5008q5826,Restaurant
16/06/2020,5425246,5425246,25/09/2020,27619p8426q8060,Restaurant
16/06/2020,5425246,5425246,24/08/2020,63519w7217m2287,Restaurant
16/06/2020,5425246,5425246,31/08/2020,25229h4737w5007,Restaurant
16/06/2020,5425246,5425246,28/09/2020,85085x8590y3301,Restaurant
16/06/2020,5425246,5425246,16/09/2020,68456g8837r6380,Restaurant
16/06/2020,5425246,5425246,14/09/2020,48373t3144i5102,Restaurant
16/06/2020,5425246,5425246,05/10/2020,10715j2874j1901,Restaurant
16/06/2020,5425246,5425246,15/10/2020,37255s1874e1843,Restaurant
16/06/2020,5425246,5425246,09/10/2020,38977a1206o8133,Restaurant
16/06/2020,5425246,5425246,09/10/2020,35727v8482v7087,Restaurant
16/06/2020,5425246,5425246,19/10/2020,77464o6339z3742,Restaurant
15/03/2020,5061830,5061830,28/08/2020,91464b3785p8197,Restaurant
15/03/2020,5061830,5061830,05/09/2020,74382d8023w1979,Restaurant
06/05/2020,5996367,5996367,08/09/2020,47649b6831l8072,Restaurant
06/05/2020,5996367,5996367,03/10/2020,38782q8526y6700,Restaurant
25/03/2020,2514509,2514509,29/05/2020,59738p7337j5342,Restaurant
25/03/2020,2514509,2514509,31/05/2020,65266u7123s9368,Restaurant
25/03/2020,2514509,2514509,10/06/2020,93550a1746w7493,Restaurant
25/03/2020,2514509,2514509,11/06/2020,40203v9510i7861,Restaurant
25/03/2020,2514509,2514509,04/08/2020,94854g8642i9150,Restaurant
25/03/2020,2514509,2514509,31/08/2020,27137l1479p8949,Restaurant
25/03/2020,2514509,2514509,29/09/2020,92882e2930r4068,Restaurant
25/03/2020,2514509,2514509,22/09/2020,58231e5760t2660,Restaurant
25/03/2020,2514509,2514509,27/09/2020,90258o9894x2130,Restaurant
25/03/2020,2514509,2514509,06/09/2020,14995w1674j4022,Restaurant
25/03/2020,2514509,2514509,26/10/2020,79829a9717c8319,Restaurant
25/03/2020,2514509,2514509,20/10/2020,80933t4102g5340,Restaurant
18/03/2020,9510717,9510717,21/05/2020,73539r2243a2922,Restaurant
21/06/2020,7754410,7754410,13/08/2020,97100i4348w4367,Restaurant
21/06/2020,7754410,7754410,10/08/2020,55389p9947h3973,Restaurant
21/06/2020,7754410,7754410,06/08/2020,30775q4684j2270,Restaurant
21/06/2020,7754410,7754410,29/09/2020,91457b9417a3501,Restaurant
21/06/2020,7754410,7754410,08/09/2020,93042d1148w2562,Restaurant
21/06/2020,7754410,7754410,08/09/2020,20492b3237q7195,Restaurant
21/06/2020,7754410,7754410,20/09/2020,83613u4695r2739,Restaurant
21/06/2020,7754410,7754410,10/10/2020,16518w1454a7809,Restaurant
21/06/2020,7754410,7754410,29/09/2020,40758v2675t2413,Restaurant
13/03/2020,3513687,3513687,07/05/2020,71556h4176n2067,Restaurant
13/03/2020,3513687,3513687,30/04/2020,64243u3101y6492,Restaurant
16/03/2020,6152335,6152335,02/05/2020,33878q7186r7027,Restaurant
16/03/2020,6152335,6152335,23/06/2020,17917y4141k6100,Restaurant
16/03/2020,6152335,6152335,18/09/2020,98397d1369i2526,Restaurant
16/03/2020,6152335,6152335,23/09/2020,73561i6940y9169,Restaurant
16/03/2020,6152335,6152335,17/10/2020,15468j2254i7917,Restaurant
16/03/2020,6152335,6152335,18/10/2020,93387r2409f2321,Restaurant
10/05/2020,6024359,6024359,29/06/2020,64457h9350r2043,Restaurant
26/03/2020,8559806,8559806,17/05/2020,28850y5282n3419,Restaurant
26/03/2020,8559806,8559806,22/05/2020,55789d8618s1312,Restaurant
13/06/2020,9338100,9338100,17/09/2020,24929h7061m6182,Restaurant
13/06/2020,9338100,9338100,06/09/2020,10076q3471d1204,Restaurant
28/03/2020,2898499,2898499,25/04/2020,99417t2578r8014,Restaurant
05/04/2020,2334665,2334665,25/05/2020,50934a8144v2343,Restaurant
04/06/2020,8557535,8557535,30/06/2020,81101n2155w1396,Restaurant
04/06/2020,8557535,8557535,12/07/2020,62199d9371d7151,Restaurant
04/06/2020,8557535,8557535,25/07/2020,97107c3990i3889,Restaurant
04/06/2020,8557535,8557535,12/08/2020,16964j2821c9175,Restaurant
04/06/2020,8557535,8557535,04/08/2020,46246p3681h3382,Restaurant
04/06/2020,8557535,8557535,28/08/2020,58760o5640q7215,Restaurant
04/06/2020,8557535,8557535,02/09/2020,66655w8693l1913,Restaurant
23/03/2020,9664932,9664932,01/05/2020,40761n1876c3350,Restaurant
23/03/2020,9664932,9664932,14/05/2020,29718j4150t7501,Restaurant
23/03/2020,9664932,9664932,27/04/2020,90123u1117x1458,Restaurant
23/03/2020,9664932,9664932,09/05/2020,42294t7097w4223,Restaurant
23/03/2020,9664932,9664932,09/05/2020,84136y6079z5328,Restaurant
23/03/2020,9664932,9664932,27/04/2020,60273y8216x8996,Restaurant
23/03/2020,9664932,9664932,23/05/2020,62375d2341u6006,Restaurant
23/03/2020,9664932,9664932,04/06/2020,83143f3706j4356,Restaurant
23/03/2020,9664932,9664932,02/07/2020,47261y3608r7732,Restaurant
