purchase_date,user_id,purchase_id,venue_id,product_line
15.08.20,5179432,47413j5902v1921,148701k2153,Restaurant
13.07.20,3725625,13351q9085u3991,383123i8191,Retail store
06.07.20,3725625,54307b5639h4071,383123i8191,Retail store
01.05.20,6767946,10738f1311h1648,366964d5132,Restaurant
05.05.20,6767946,78811a3393n1963,548450b3312,Restaurant
24.06.20,6767946,64996h1679w7459,674896o4266,Restaurant
06.10.20,7626899,47878t5845o4609,711819r4036,Restaurant
26.10.20,7626899,33736b2228c6467,507697s5973,Restaurant
02.09.20,7170619,96124k1369f2822,605271m6931,Restaurant
11.09.20,2265702,80037i1827k7386,383123i8191,Retail store
07.09.20,2265702,45733x5689u7343,859489v4876,Retail store
16.05.20,2597307,25490w3757u8088,909373o8807,Retail store
31.05.20,2597307,53458i7622s6620,909373o8807,Retail store
26.06.20,2597307,57082w4451t6047,909373o8807,Retail store
30.08.20,2597307,85344s4380e9580,909373o8807,Retail store
14.08.20,2597307,87155b7258n4193,909373o8807,Retail store
01.10.20,2597307,51381v4963v2569,909373o8807,Retail store
26.09.20,2597307,89724s6424u7258,909373o8807,Retail store
10.09.20,2597307,59606a3242c3286,909373o8807,Retail store
02.10.20,2597307,53512x9235m2061,909373o8807,Retail store
30.09.20,2597307,70000w2602i1645,909373o8807,Retail store
02.07.20,2621179,12002i3671v6526,259247f3330,Restaurant
07.05.20,1941120,75369d8556y9667,957767l8079,Retail store
18.05.20,1941120,42934c3374f7235,376987h5139,Retail store
19.08.20,5457179,17546s5325p4818,468015w3366,Restaurant
02.08.20,5457179,88247k7287u5516,379590h2372,Restaurant
23.07.20,5457179,34334g1002t3321,501986k8272,Restaurant
12.08.20,5457179,80568x4679w4682,379590h2372,Restaurant
03.08.20,5457179,66745c2116d2425,379590h2372,Restaurant
22.08.20,5457179,47986z4150b1849,468015w3366,Restaurant
29.07.20,5457179,10585k2810e8376,379590h2372,Restaurant
12.08.20,5457179,66703a7206x5608,585293v5839,Restaurant
02.09.20,5457179,36450l4792v1610,246063a1713,Restaurant
24.08.20,5457179,53257q2286n6337,612119d4768,Restaurant
30.08.20,5457179,65626f3430l7817,188128d3159,Restaurant
06.09.20,5457179,74054g4739y7921,868374s3978,Restaurant
19.09.20,5457179,20099a3851m4417,501986k8272,Restaurant
23.08.20,5457179,85554p5957a3308,246063a1713,Restaurant
18.09.20,5457179,53890l1459j9631,984950w8233,Restaurant
17.09.20,5457179,72507u2262l1800,691499c7748,Restaurant
01.09.20,5457179,77885i5223y5022,468015w3366,Restaurant
08.09.20,5457179,47987n4664y7930,449516b7889,Restaurant
08.09.20,5457179,11234p6501d9652,246063a1713,Restaurant
02.09.20,5457179,68821i1248t4510,468015w3366,Restaurant
23.08.20,5457179,45796g3750b6201,575764s4990,Restaurant
25.09.20,5457179,94907w6927e5979,612119d4768,Restaurant
12.06.20,2059607,70122t2132q8975,845475m3780,Restaurant
30.10.20,2059607,14996v4905i6173,843262c5356,Restaurant
24.06.20,7432913,41088r5856k7148,960620r6406,Restaurant
01.10.20,4752287,21923m4920d2768,956339c8881,Restaurant
22.08.20,4752287,16014g4300k5479,943999t8390,Restaurant
14.10.20,4752287,45971d7811i5408,383217b8485,Restaurant
10.10.20,4752287,75419s2222g3769,956339c8881,Restaurant
23.06.20,3959440,62048b2759w9666,897051h2623,Restaurant
03.08.20,4364136,36026y4227v1821,156542m5125,Retail store
29.05.20,1879402,60081i7961f2142,725392g2580,Restaurant
28.06.20,1879402,70767o7757x8370,489357g7300,Restaurant
17.08.20,7105437,64578u5119i8910,728838p4147,Retail store
24.09.20,4705863,58745i6628p1945,909373o8807,Retail store
14.09.20,4705863,60437u6841d2820,909373o8807,Retail store
13.09.20,4705863,97660p1110f3188,909373o8807,Retail store
25.09.20,7837200,38337b4454x9664,859489v4876,Retail store
23.06.20,4975803,92602k9526k2836,383123i8191,Retail store
06.06.20,4975803,57655j1922f2510,109445d7398,Retail store
19.06.20,4975803,70559x8627x9234,376987h5139,Retail store
10.06.20,4975803,48009m2261y9864,120951s5826,Retail store
22.06.20,4975803,34634y4572r1051,909373o8807,Retail store
18.06.20,4975803,65698m5114t7486,576624c6672,Retail store
06.06.20,4975803,37156v3310c5567,909373o8807,Retail store
25.06.20,4975803,98067p6130v7553,399210y7713,Retail store
22.06.20,4975803,38036q3075s9528,129121d3988,Retail store
17.06.20,4975803,45753e4037e2351,533221b3355,Retail store
05.06.20,4975803,46529d7742q4383,576624c6672,Retail store
30.06.20,4975803,43462p2873r4134,909373o8807,Retail store
09.06.20,4975803,53030o3175o3881,909373o8807,Retail store
27.06.20,4975803,26584i4127g1784,399210y7713,Retail store
15.06.20,4975803,36112i8180b1918,909373o8807,Retail store
06.06.20,4975803,66718o9856d1874,909373o8807,Retail store
20.06.20,4975803,30105b2352a2696,156542m5125,Retail store
26.06.20,2282148,23803s1302j3740,290030u6454,Restaurant
27.06.20,1443740,72971o6250a7387,383123i8191,Retail store
08.07.20,1443740,14442u7045k2498,383123i8191,Retail store
16.08.20,2123555,19801t9995g9110,845863w1428,Retail store
09.06.20,7781609,25227e5286w5581,961434u2055,Restaurant
29.07.20,7781609,36102q4798n5815,961434u2055,Restaurant
09.09.20,3750976,75054e3022k7659,248706j3783,Restaurant
16.10.20,3750976,93662r3105p2523,932757h8571,Restaurant
10.10.20,3750976,98543r6133h2377,759314t6671,Restaurant
24.08.20,9032113,17288m7171y8804,924800b6343,Restaurant
29.07.20,2011210,24347t9847x9148,383123i8191,Retail store
23.09.20,2011210,11266z9186j6116,156542m5125,Retail store
15.10.20,8777133,15117i6648n3654,612119d4768,Restaurant
11.06.20,2271636,83933x8591g8470,174400s2993,Restaurant
26.05.20,2271636,17838p5351l1827,174400s2993,Restaurant
16.06.20,2271636,75252y2247o7949,174400s2993,Restaurant
26.08.20,2271636,28699v3945e8046,174400s2993,Restaurant
29.08.20,2271636,98806r3310t5950,174400s2993,Restaurant
27.08.20,2271636,64531i5166q7117,174400s2993,Restaurant
26.10.20,2271636,30117s8893o8190,174400s2993,Restaurant
02.10.20,5009019,81635n4887w1667,475177a9562,Restaurant
30.08.20,8409236,49935y4290y3693,399210y7713,Retail store
25.08.20,7869771,49560u9518u4128,203592i1541,Restaurant
30.05.20,7890391,51566r9580u6932,192976e3251,Restaurant
24.07.20,7890391,25533p2842m9781,529444t3849,Restaurant
17.09.20,7890391,14405i7514e5781,690429k1728,Restaurant
26.08.20,7890391,68846m7300g6273,961434u2055,Restaurant
31.08.20,1944542,20839c7495f2170,513275x9828,Restaurant
25.08.20,2624146,45979t2224g8355,376987h5139,Retail store
27.05.20,7286199,76554k7960f6939,863086r6712,Restaurant
28.06.20,7286199,24311b7609i3845,690429k1728,Restaurant
14.08.20,7286199,68619m6409k4693,863086r6712,Restaurant
25.09.20,7286199,79674s9669u5180,435760v7511,Restaurant
11.09.20,7286199,32299z2535r6509,196931k5519,Restaurant
28.08.20,7286199,88166e5290w3252,690429k1728,Restaurant
11.09.20,7286199,50893e8723f5452,196931k5519,Restaurant
06.09.20,7286199,66848s7232a5375,575764s4990,Restaurant
01.10.20,7286199,98007i3608a6502,863086r6712,Restaurant
20.10.20,7286199,49471i5798h2230,391408w1383,Restaurant
15.10.20,7286199,77419r3706u3763,391477o3560,Restaurant
04.06.20,7989811,50240m5196p3066,845863w1428,Retail store
01.08.20,3600831,30690f5873u1876,192976e3251,Restaurant
23.04.20,4351785,93220u8744n2590,191930c7596,Retail store
